States,Total Investigations,Fraud Investigations,Abuse/Neglect Investigations,Total Indictments,Fraud Indictments,Abuse/Neglect Indictments,Total Convictions,Fraud Convictions,Abuse/neglect Convictions,Civil Settlements and Judgments,Total Recoveries,Total Criminal Recoveries,Civil Recoveries Global,Civil Recoveries Other,MFCU Grant Expenditures,Total Medicaid Expenditures,Staff On Board
Alabama,43,32,11,4,3,1,11,8,3,6,"$3,547,133","$2,435,140","$1,111,993",$0,"$1,489,865","$6,830,948,902",10
Alaska,167,152,15,5,5,0,2,2,0,8,"$2,510,076","$1,998,393","$379,158","$132,525","$1,683,158","$2,301,389,622",12
Arizona,175,146,29,76,67,9,39,33,6,10,"$2,843,073","$518,421","$1,824,652","$500,000","$4,188,610","$17,907,764,164",28
Arkansas,191,144,47,20,12,8,15,8,7,20,"$8,090,180","$76,650","$1,347,749","$6,665,781","$2,835,246","$7,659,817,684",22
California,"1,472",989,483,65,41,24,88,53,35,20,"$72,973,624","$25,066,373","$10,275,461","$37,631,791","$44,307,262","$115,690,408,869",186
Colorado,472,409,63,19,3,16,10,2,8,23,"$7,743,642","$193,830","$7,238,806","$311,007","$2,918,883","$11,185,618,422",20
Connecticut,135,135,0,11,11,0,2,2,0,17,"$12,652,680","$55,883","$9,798,847","$2,797,951","$2,435,107","$7,311,806,873",13
Delaware,527,459,68,10,2,8,9,2,7,11,"$734,355","$7,702","$726,654",$0,"$2,173,064","$2,514,092,363",17
D.C.,91,51,40,8,3,5,4,3,1,10,"$3,377,753","$1,594,645","$1,783,108",$0,"$3,212,586","$3,618,622,221",16
Florida,809,685,124,50,32,18,35,25,10,22,"$13,071,540","$1,038,236","$10,007,750","$2,025,554","$17,793,362","$28,760,456,851",148
Georgia,593,558,35,8,6,2,2,1,1,23,"$6,415,509","$1,028,494","$3,959,929","$1,427,086","$5,276,711","$12,709,068,238",47
Hawaii,675,542,133,1,1,0,5,4,1,6,"$1,282,972","$1,107,736","$163,236","$12,000","$1,710,085","$2,898,793,908",14
Idaho,179,177,2,7,7,0,7,7,0,4,"$724,022","$29,618","$694,404",$0,"$914,382","$3,007,621,707",9
Illinois,502,453,49,49,38,11,28,20,8,11,"$12,317,689","$3,425,820","$8,417,015","$474,854","$9,404,958","$27,950,531,219",49
Indiana,924,786,138,66,60,6,61,57,4,18,"$9,773,660","$1,762,049","$7,087,136","$924,476","$7,603,300","$16,079,130,856",59
Iowa,294,259,35,32,16,16,20,12,8,9,"$1,765,090","$602,570","$940,520","$222,000","$852,995","$6,071,314,469",8
Kansas,275,199,76,6,3,3,6,3,3,7,"$2,492,985","$20,591","$2,472,394",$0,"$2,357,176","$4,281,483,229",15
Kentucky,233,205,28,18,16,2,28,22,6,14,"$20,549,679","$2,454,139","$13,084,864","$5,010,677","$4,026,386","$14,803,544,906",32
Louisiana,521,372,149,72,42,30,41,29,12,12,"$17,043,497","$1,001,906","$5,348,940","$10,692,652","$8,465,912","$13,647,030,555",64
Maine,58,43,15,4,2,2,9,3,6,6,"$4,099,342","$2,863,404","$1,235,938",$0,"$1,227,463","$3,505,096,838",9
Maryland,362,331,31,12,7,5,5,3,2,15,"$16,543,234","$1,034,672","$14,801,290","$707,272","$4,702,440","$13,947,928,487",33
Massachusetts,615,581,34,13,11,2,5,3,2,18,"$33,173,698","$1,198,132","$9,721,631","$22,253,934","$6,082,329","$21,064,079,886",39
