States,Total Investigations,Fraud Investigations,Abuse/Neglect Investigations,Total Indictments,Fraud Indictments,Abuse/Neglect Indictments,Total Convictions,Fraud Convictions,Abuse/neglect Convictions,Civil Settlements and Judgments,Total Recoveries,Total Criminal Recoveries,Civil Recoveries,MFCU Grant Expenditures,Total Medicaid Expenditures,Staff On Board
Alabama,27,10,17,4,2,2,0,0,0,8,"$16,206,581.97",$0.00,"$16,206,581.97","$1,110,348.56","$5,216,155,508.00",8
Alaska,219,202,17,58,57,1,19,17,2,10,"$1,093,135.83","$53,058.17","$1,040,077.66","$1,156,792.21","$1,446,189,444.00",8
Arizona,320,237,83,72,50,22,37,29,8,0,"$622,973.75","$589,703.85","$33,269.90","$2,408,103.01","$8,669,976,278.00",21
Arkansas,90,52,38,20,6,14,10,3,7,16,"$14,622,465.48","$32,643.40","$14,589,822.08","$2,211,756.15","$4,428,390,909.00",21
California,"1,157",718,439,129,69,60,68,41,27,19,"$57,748,650.12","$19,975,037.87","$37,773,612.25","$30,260,728.38","$66,056,757,855.00",172
Colorado,249,241,8,18,18,0,13,13,0,36,"$8,131,661.57","$226,252.30","$7,905,409.27","$2,046,626.88","$5,314,867,064.00",16
Connecticut,64,53,11,16,15,1,7,6,1,11,"$28,228,260.78","$140,246.47","$28,088,014.31","$1,629,583.09","$6,723,113,621.00",11
Delaware,559,478,81,5,0,5,7,0,7,9,"$398,817.22","$28,000.00","$370,817.22","$1,877,814.08","$1,655,387,071.00",17
D.C.,186,115,71,1,0,1,6,4,2,15,"$7,805,483.56","$3,937,197.76","$3,868,285.80","$2,473,054.50","$2,397,083,097.00",21
Florida,658,596,62,67,39,28,67,48,19,28,"$40,891,857.68","$9,048,764.72","$31,843,092.96","$14,179,445.78","$19,180,703,866.00",151
Georgia,340,336,4,13,13,0,11,10,1,15,"$28,881,717.63","$1,793,138.01","$27,088,579.62","$4,029,111.00","$9,359,038,151.00",42
Hawaii,113,50,63,7,0,7,9,4,5,13,"$4,537,669.87","$48,017.26","$4,489,652.61","$1,288,535.16","$1,696,678,001.00",13
Idaho,119,115,4,5,5,0,4,4,0,12,"$6,553,492.91","$204,312.44","$6,349,180.47","$695,462.56","$1,761,758,211.00",7
Illinois,311,236,75,62,41,21,64,38,26,21,"$60,041,822.01","$917,903.12","$59,123,918.89","$9,541,211.16","$16,536,234,179.00",58
Indiana,"1,064",812,252,15,13,2,25,16,9,30,"$28,246,063.87","$7,934,940.78","$20,311,123.09","$5,236,624.00","$8,367,085,690.00",58
Iowa,240,205,35,50,31,19,31,18,13,13,"$10,717,543.20","$150,131.98","$10,567,411.22","$1,040,525.00","$3,805,810,851.00",9
Kansas,146,127,19,8,7,1,13,13,0,15,"$23,438,027.48","$2,298,194.77","$21,139,832.71","$1,514,339.11","$2,720,787,284.00",15
Kentucky,118,104,14,10,8,2,8,8,0,17,"$39,547,875.72","$289,576.17","$39,258,299.55","$2,608,933.89","$5,931,446,503.00",28
Louisiana,396,317,79,93,76,17,62,47,15,39,"$187,601,191.00","$63,873,287.00","$123,727,904.00","$4,863,800.27","$7,181,407,383.00",52
Maine,38,31,7,9,7,2,10,6,4,6,"$7,403,483.41","$110,123.75","$7,293,359.66","$700,450.77","$2,959,349,126.00",6.5
Maryland,320,284,36,13,7,6,17,12,5,29,"$22,331,246.36","$198,146.71","$22,133,099.65","$2,839,745.76","$8,052,966,208.00",28
Massachusetts,683,497,186,22,20,2,17,17,0,32,"$29,607,993.29","$884,124.29","$28,723,869.00","$5,271,067.00","$13,687,392,762.00",43
Michigan,485,436,49,19,11,8,28,11,17,16,"$24,541,893.16","$353,924.33","$24,187,968.83","$4,882,449.49","$12,970,899,451.00",33
Minnesota,89,86,3,24,24,0,23,20,3,21,"$14,988,004.04","$1,922,672.83","$13,065,331.21","$1,464,767.33","$9,343,811,915.00",14
Mississippi,689,78,611,36,3,33,54,0,54,14,"$27,795,528.12","$8,771,739.01","$19,023,789.11","$3,087,424.00","$4,879,175,168.00",35
Missouri,301,280,21,8,7,1,14,13,1,31,"$47,764,282.06","$2,693,334.92","$45,070,947.14","$1,984,422.71","$9,209,870,025.00",20
Montana,27,26,1,4,4,0,6,6,0,9,"$985,871.37","$34,845.22","$951,026.15","$654,446.82","$1,076,709,165.00",8
Nebraska,97,75,22,4,4,0,14,9,5,19,"$8,593,146.34","$175,562.08","$8,417,584.26","$770,565.87","$1,906,330,745.00",8
Nevada,22,19,3,14,12,2,16,13,3,15,"$6,261,358.48","$2,648,815.56","$3,612,542.92","$1,904,688.64","$1,918,533,349.00",16
"New
Hampshire",38,31,7,2,0,2,4,1,3,15,"$3,663,350.94","$152,162.00","$3,511,188.94","$523,159.65","$1,292,037,438.00",6
New Jersey,364,352,12,22,19,3,14,11,3,14,"$33,887,934.39","$1,174,165.64","$32,713,768.75","$4,579,682.87","$11,143,784,058.00",35
New Mexico,112,107,5,8,8,0,10,9,1,30,"$2,017,386.44","$31,424.16","$1,985,962.28","$1,827,905.08","$3,471,930,215.00",17
New York,801,677,124,175,131,44,138,110,28,69,"$134,493,521.82","$19,177,053.00","$115,316,468.82","$45,054,451.00","$54,192,911,238.00",300
North Carolina,418,402,16,20,20,0,30,28,2,18,"$47,052,648.87","$14,294,434.84","$32,758,214.03","$5,357,886.03","$12,463,184,143.00",48
Ohio,"1,049",701,348,153,138,15,148,133,15,21,"$41,072,513.56","$5,942,718.56","$35,129,795.00","$7,344,992.26","$17,237,076,852.00",77
Oklahoma,213,135,78,23,12,11,21,15,6,20,"$28,399,516.73","$1,360,282.35","$27,039,234.38","$1,986,667.00","$4,752,126,532.00",22
Oregon,50,46,4,27,23,4,29,27,2,13,"$15,151,849.81","$895,243.81","$14,256,606.00","$1,806,514.69","$5,600,397,595.00",14.5
Pennsylvania,352,337,15,76,76,0,54,51,3,13,"$30,729,119.67","$2,666,615.80","$28,062,503.87","$4,730,372.33","$21,698,977,826.00",33
Rhode Island,71,48,23,17,9,8,9,9,0,4,"$4,381,891.74","$62,301.43","$4,319,590.31","$1,184,944.38","$2,018,428,048.00",11
"South
Carolina",177,151,26,45,32,13,34,21,13,18,"$19,983,522.26","$1,609,886.72","$18,373,635.54","$1,451,005.76","$4,921,639,527.00",15
South Dakota,49,42,7,2,1,1,2,1,1,0,"$3,053,873.46","$365,164.76","$2,688,708.70","$384,175.57","$820,357,642.00",5
Tennessee,213,187,26,22,14,8,24,10,14,17,"$78,870,738.99","$1,167,951.58","$77,702,787.41","$3,990,162.19","$9,022,143,146.00",32
Texas,"1,279","1,165",114,112,104,8,97,82,15,18,"$196,718,960.26","$81,995,796.84","$114,723,163.42","$15,582,973.37","$29,086,162,849.00",181
Utah,106,93,13,2,2,0,4,3,1,15,"$7,989,088.00","$49,173.00","$7,939,915.00","$1,817,277.48","$2,229,362,038.00",13
Vermont,134,116,18,9,7,2,9,9,0,12,"$5,507,996.31","$58,599.50","$5,449,396.81","$987,268.31","$1,499,744,254.00",7
Virginia,373,363,10,28,24,4,21,18,3,11,"$1,008,988,074.68","$704,439,186.12","$304,548,888.56","$11,249,106.19","$7,604,993,529.00",96
Washington,164,152,12,10,10,0,11,9,2,16,"$16,562,703.65","$192,715.39","$16,369,988.26","$3,596,829.00","$8,407,111,070.00",30.5
West Virginia,91,49,42,12,4,8,10,7,3,17,"$16,148,738.40","$3,779,139.90","$12,369,598.50","$1,112,517.86","$3,181,083,472.00",14
Wisconsin,350,339,11,13,10,3,9,8,1,2,"$54,757,244.00","$54,750.00","$54,702,494.00","$1,274,531.12","$7,390,660,088.00",11
Wyoming,59,57,2,4,4,0,3,3,0,17,"$1,623,271.63","$76,387.73","$1,546,883.90","$489,024.26","$594,690,624.00",4
Grand Total,"15,590","12,366","3,224","1,588","1,197",391,"1,341",991,350,879,"$2,506,642,043.89","$968,878,847.90","$1,537,763,195.99","$230,064,269.58","$453,082,711,064.00",1911.5
"¹Investigations are defined as the total number of open investigations at the end of the fiscal year.
²Recoveries are defined as the amount of money that defendants are required to pay as a result of a settlement, judgment, or prefiling settlement in criminal and civil cases and may not reflect actual
collections. Recoveries may involve cases that include participation by other Federal and State agencies.
Information in this chart was reported to OIG by the 50 State MFCUs, except MFCU Grant Expenditures and Total Medicaid Expenditures. MFCU Grant Expenditures and Total Medicaid Expenditures include
both Federal and State shares. Abuse/Neglect cases are defined to include ""patient funds"" cases.
All information is current as of January 31, 2014, except MFCU Grant Expenditures, which is current as of February 11, 2014.",,,,,,,,,,,,,,,,
