States,Total Investigations,Fraud Investigations,Abuse/Neglect Investigations,Total Indictments,Fraud Indictments,Abuse/Neglect Indictments,Total Convictions,Fraud Convictions,Abuse/neglect Convictions,Civil Settlements and Judgments,Total Recoveries,Total Criminal Recoveries,Civil Recoveries,MFCU Grant Expenditures,Total Medicaid Expenditures,Staff On Board
Alabama,44,16,28,11,7,4,6,4,2,10,"$17,988,911.38","$249,298.54","$17,739,612.84","$1,253,192.56","$5,454,050,260.00",10
Alaska,173,160,13,35,35,0,44,44,0,4,"$644,325.57","$535,433.49","$108,892.08","$1,105,990.03","$1,546,569,264.00",8
Arizona,309,228,81,54,36,18,40,28,12,4,"$538,729.34","$209,276.83","$329,452.51","$2,316,273.90","$9,452,683,998.00",20
Arkansas,108,24,84,15,6,9,22,5,17,15,"$2,228,764.66","$127,656.00","$2,101,108.66","$2,454,099.72","$5,154,278,818.00",22
California,"1,194",671,523,114,53,61,97,59,38,20,"$77,622,974.52","$22,713,170.28","$54,909,804.24","$26,158,835.03","$68,248,444,914.00",193
Colorado,260,255,5,6,6,0,10,9,1,26,"$9,999,945.37","$84,090.00","$9,915,855.37","$1,615,524.84","$6,265,152,763.00",17
Connecticut,62,59,3,12,12,0,8,8,0,18,"$3,030,886.46","$17,599.12","$3,013,287.34","$1,989,924.12","$7,167,946,629.00",13
Delaware,624,538,86,16,1,15,11,0,11,21,"$1,949,633.53","$106,816.07","$1,842,817.46","$1,944,099.15","$1,805,108,123.00",17
D.C.,248,170,78,27,25,2,3,2,1,12,"$3,973,338.22","$7,672.48","$3,965,665.74","$2,708,823.90","$2,524,458,778.00",21
Florida,665,600,65,81,55,26,60,42,18,34,"$91,867,057.44","$3,989,921.37","$87,877,136.07","$15,506,673.66","$20,818,233,200.00",161
Georgia,414,410,4,4,4,0,9,9,0,23,"$48,703,251.01","$7,776,456.19","$40,926,794.82","$4,523,319.47","$9,858,134,878.00",46
Hawaii,68,20,48,9,0,9,10,4,6,8,"$3,079,615.23","$61,241.26","$3,018,373.97","$1,301,425.29","$2,049,769,576.00",13
Idaho,124,118,6,9,7,2,11,11,0,10,"$801,857.53","$104,933.38","$696,924.15","$656,936.78","$1,692,361,521.00",8
Illinois,311,230,81,56,42,14,76,53,23,23,"$90,872,897.09","$1,202,159.97","$89,670,737.12","$7,719,034.17","$17,726,308,920.00",45
Indiana,"1,272",941,331,66,55,11,29,22,7,30,"$54,591,556.99","$2,324,000.85","$52,267,556.14","$6,119,574.00","$9,600,134,668.00",55
Iowa,270,249,21,48,33,15,44,28,16,16,"$24,403,657.64","$987,348.24","$23,416,309.40","$1,020,053.20","$4,110,153,654.00",8
Kansas,101,95,6,28,25,3,16,13,3,22,"$27,437,135.25","$150,269.17","$27,286,866.08","$1,330,521.73","$2,933,837,600.00",14
Kentucky,145,118,27,27,14,13,18,14,4,18,"$66,222,772.25","$1,141,643.13","$65,081,129.12","$2,989,940.10","$8,017,227,454.00",28
Louisiana,425,366,59,132,118,14,76,65,11,40,"$245,305,060.00","$118,815,109.00","$126,489,951.00","$5,134,743.68","$7,337,796,633.00",52
Maine,39,31,8,10,6,4,7,5,2,12,"$9,776,295.20","$19,168.00","$9,757,127.20","$728,261.61","$2,528,826,380.00",8
Maryland,314,283,31,13,6,7,12,6,6,22,"$41,493,941.04","$48,049.37","$41,445,891.67","$3,510,342.00","$9,625,821,402.00",31
