States,Total Investigations,Fraud Investigations,Abuse/Neglect Investigations,Total Indictments,Fraud Indictments,Abuse/Neglect Indictments,Total Convictions,Fraud Convictions,Abuse/neglect Convictions,Civil Settlements and Judgments,Total Recoveries,Total Criminal Recoveries,Civil Recoveries Global,Civil Recoveries Other,MFCU Grant Expenditures,Total Medicaid Expenditures,Staff On Board
Alabama,48,39,9,17,8,9,9,5,4,5,"$5,072,878","$422,078","$4,650,800",$0,"$1,357,240","$5,495,672,054",10
Alaska,130,129,1,32,32,0,15,15,0,8,"$2,463,748","$2,403,648","$60,099",$0,"$1,279,525","$1,223,950,911",10
Arizona,103,84,19,77,56,21,48,24,24,17,"$2,358,072","$423,572","$1,934,500",$0,"$2,811,988","$10,895,032,291",20
Arkansas,110,69,41,34,21,13,22,11,11,14,"$2,237,105","$488,655","$1,584,347","$164,103","$2,460,200","$5,852,914,637",20
California,"1,725","1,082",643,246,138,108,115,59,56,22,"$57,902,899","$26,164,225","$29,732,837","$2,005,836","$32,138,721","$90,614,357,683",182
Colorado,271,271,0,8,8,0,9,9,0,44,"$4,707,135","$660,651","$3,739,443","$307,040","$1,651,018","$7,687,605,872",16
Connecticut,82,78,4,8,8,0,7,6,1,12,"$2,027,006","$48,721","$1,582,975","$395,309","$2,108,289","$7,597,012,987",12
Delaware,640,586,54,38,28,10,41,17,24,9,"$1,093,390","$100,001","$993,390",$0,"$1,893,364","$2,023,509,108",16
D.C.,153,147,6,11,11,0,30,29,1,10,"$1,991,288","$284,396","$1,519,392","$187,500","$2,792,615","$2,520,735,076",21
Florida,568,531,37,99,75,24,77,54,23,26,"$57,665,129","$26,004,717","$10,078,140","$21,582,272","$16,910,095","$21,909,678,011",160
Georgia,456,445,11,22,21,1,12,12,0,27,"$16,316,308","$2,221,652","$8,104,274","$5,990,382","$4,804,982","$10,245,084,441",42
Hawaii,64,21,43,3,2,1,6,4,2,10,"$2,385,140","$38,143","$2,291,997","$55,000","$1,317,827","$2,076,761,775",14
Idaho,108,98,10,4,4,0,4,3,1,11,"$796,796","$118,214","$321,457","$357,125","$873,359","$1,819,959,694",9
Illinois,298,248,50,53,41,12,55,42,13,22,"$16,902,136","$694,271","$6,584,321","$9,623,544","$7,622,227","$17,963,860,929",41
Indiana,"1,606","1,216",390,48,47,1,44,38,6,22,"$28,192,407","$2,825,349","$2,603,929","$22,763,128","$5,916,915","$9,721,569,345",60
Iowa,291,270,21,58,37,21,53,33,20,11,"$10,799,278","$223,805","$650,788","$9,924,685","$1,074,819","$4,672,288,367",10
Kansas,112,104,8,6,6,0,17,15,2,10,"$4,596,228","$783,891","$99,518","$3,712,819","$1,192,687","$3,193,745,137",13
Kentucky,117,72,45,22,9,13,13,3,10,14,"$2,904,551","$274,862","$2,511,193","$118,497","$3,393,619","$9,666,336,070",29
Louisiana,426,356,70,91,84,7,73,66,7,25,"$17,905,243","$5,072,526","$8,586,459","$4,246,258","$5,263,527","$8,152,272,103",50
Maine,61,50,11,4,0,4,8,4,4,7,"$1,203,259","$425,841","$777,418",$0,"$764,429","$2,620,426,632",7
Maryland,353,319,34,12,8,4,10,8,2,10,"$4,463,044","$2,690,087","$526,035","$1,246,923","$3,697,014","$9,881,703,513",30
Massachusetts,502,444,58,4,3,1,10,9,1,21,"$17,572,910","$9,540,716","$1,558,979","$6,473,215","$5,364,610","$16,164,091,522",45
Michigan,526,480,46,22,13,9,30,23,7,16,"$6,345,523","$882,447","$4,987,244","$475,832","$5,630,862","$16,561,360,132",32
Minnesota,419,417,2,24,22,2,19,17,2,13,"$1,985,577","$619,154","$1,268,023","$98,400","$1,765,979","$11,294,848,324",19
